20 6.360672 7.159161 nan nan nan
40 13.04611 12.511061 12.277514 nan nan
60 18.208582 16.494818 16.28207 nan nan
80 27.805687 25.623114 25.130133 24.365705 nan
120 nan 33.569828 32.02916 32.81228 32.71652
